Parti;Forkortelse;ID;Farve;Valg;Stemmetal;Pct. af stemmer;Mandater;Mandatprocent;Regeringsparti;Statsministerparti;Partileder;Note
Det Konservative Folkeparti;K;3;#4c962f;11-03-1998;303.965;8,92%;16;9,14%;FALSK;FALSK;Per Stig Møller;
Enhedslisten;EL;39;#e6801a;11-03-1998;91.933;2,70%;5;2,86%;FALSK;FALSK;Kollektiv ledelse;
Socialistisk Folkeparti;SF;25;#e07ea8;11-03-1998;257.406;7,56%;13;7,43%;FALSK;FALSK;Holger K. Nielsen;
Kristeligt Folkeparti;KF;29;#254264;11-03-1998;85.656;2,51%;4;2,29%;FALSK;FALSK;Jann Sjursen;
Fremskridtspartiet;FP;31;#ebca47;11-03-1998;82.437;2,42%;4;2,29%;FALSK;FALSK;Kirsten Jacobsen;
Demokratisk Fornyelse;DMF;40;#127b7f;11-03-1998;10.768;0,32%;0;0,00%;FALSK;FALSK;;
Dansk Folkeparti;DF;41;#e7bf23;11-03-1998;252.429;7,41%;13;7,43%;FALSK;FALSK;Pia Kjærsgaard;
Centrum-Demokraterne;CD;30;#970647;11-03-1998;146.802;4,31%;8;4,57%;FALSK;FALSK;Mimi Jakobsen;
Uden for partierne;Uden;99;#a5a5a5;11-03-1998;1.833;0,05%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;20-11-2001;1.003.323;29,08%;52;29,71%;FALSK;FALSK;Poul Nyrup Rasmussen;
Det Radikale Venstre;RV;4;#7d329b;20-11-2001;179.023;5,19%;9;5,14%;FALSK;FALSK;Marianne Jelved;
Venstre;V;2;#115eb0;20-11-2001;1.077.858;31,25%;56;32,00%;SAND;SAND;Anders Fogh Rasmussen;
Det Konservative Folkeparti;K;3;#4c962f;20-11-2001;312.770;9,07%;16;9,14%;SAND;FALSK;Bendt Bendtsen;
Enhedslisten;EL;39;#e6801a;20-11-2001;82.685;2,40%;4;2,29%;FALSK;FALSK;Kollektiv ledelse;
Socialistisk Folkeparti;SF;25;#e07ea8;20-11-2001;219.842;6,37%;12;6,86%;FALSK;FALSK;Holger K. Nielsen;
Kristeligt Folkeparti;KF;29;#254264;20-11-2001;78.793;2,28%;4;2,29%;FALSK;FALSK;Jann Sjursen;
Fremskridtspartiet;FP;31;#ebca47;20-11-2001;19.340;0,56%;0;0,00%;FALSK;FALSK;Mogens Glistrup;
Dansk Folkeparti;DF;41;#e7bf23;20-11-2001;413.987;12,00%;22;12,57%;FALSK;FALSK;Pia Kjærsgaard;
Centrum-Demokraterne;CD;30;#970647;20-11-2001;61.031;1,77%;0;0,00%;FALSK;FALSK;Mimi Jakobsen;
Uden for partierne;Uden;99;#a5a5a5;20-11-2001;1.016;0,03%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;08-02-2005;867.349;25,84%;47;26,86%;FALSK;FALSK;Mogens Lykketoft;
Det Radikale Venstre;RV;4;#7d329b;08-02-2005;308.212;9,18%;17;9,71%;FALSK;FALSK;Marianne Jelved;
Venstre;V;2;#115eb0;08-02-2005;974.636;29,03%;52;29,71%;SAND;SAND;Anders Fogh Rasmussen;
Det Konservative Folkeparti;K;3;#4c962f;08-02-2005;344.886;10,27%;18;10,29%;SAND;FALSK;Bendt Bendtsen;
Enhedslisten;EL;39;#e6801a;08-02-2005;114.123;3,40%;6;3,43%;FALSK;FALSK;Kollektiv ledelse;
Socialistisk Folkeparti;SF;25;#e07ea8;08-02-2005;201.047;5,99%;11;6,29%;FALSK;FALSK;Holger K. Nielsen;
Kristendemokraterne;KD;29;#254264;08-02-2005;58.071;1,73%;0;0,00%;FALSK;FALSK;Marianne Karlsmose;
Dansk Folkeparti;DF;41;#e7bf23;08-02-2005;444.947;13,25%;24;13,71%;FALSK;FALSK;Pia Kjærsgaard;
Centrum-Demokraterne;CD;30;#970647;08-02-2005;33.880;1,01%;0;0,00%;FALSK;FALSK;Mimi Jakobsen;
Minoritetspartiet;MP;42;#346a4a;08-02-2005;8.850;0,26%;0;0,00%;FALSK;FALSK;Rune Engelbrecht;
Uden for partierne;Uden;99;#a5a5a5;08-02-2005;1.211;0,04%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;13-11-2007;881.037;25,47%;45;25,71%;FALSK;FALSK;Helle Thorning-Schmidt;
Det Radikale Venstre;RV;4;#7d329b;13-11-2007;177.161;5,12%;9;5,14%;FALSK;FALSK;Margrethe Vestager;
Venstre;V;2;#115eb0;13-11-2007;908.472;26,26%;46;26,29%;SAND;SAND;Anders Fogh Rasmussen;
Det Konservative Folkeparti;K;3;#4c962f;13-11-2007;359.404;10,39%;18;10,29%;SAND;FALSK;Bendt Bendtsen;
Enhedslisten;EL;39;#e6801a;13-11-2007;74.982;2,17%;4;2,29%;FALSK;FALSK;Kollektiv ledelse;
Socialistisk Folkeparti;SF;25;#e07ea8;13-11-2007;450.975;13,04%;23;13,14%;FALSK;FALSK;Villy Søvndal;
Kristendemokraterne;KD;29;#254264;13-11-2007;30.013;0,87%;0;0,00%;FALSK;FALSK;Bodil Kornbek;
Dansk Folkeparti;DF;41;#e7bf23;13-11-2007;479.532;13,86%;25;14,29%;FALSK;FALSK;Pia Kjærsgaard;
Ny Alliance;NA;43;#3fb2be;13-11-2007;97.295;2,81%;5;2,86%;FALSK;FALSK;Naser Khader;
Uden for partierne;Uden;99;#a5a5a5;13-11-2007;549;0,02%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;15-09-2011;879.615;24,81%;44;25,14%;SAND;SAND;Helle Thorning-Schmidt;
Det Radikale Venstre;RV;4;#7d329b;15-09-2011;336.698;9,50%;17;9,71%;SAND;FALSK;Margrethe Vestager;
Venstre;V;2;#115eb0;15-09-2011;947.725;26,73%;47;26,86%;FALSK;FALSK;Lars Løkke Rasmussen;
Det Konservative Folkeparti;K;3;#4c962f;15-09-2011;175.047;4,94%;8;4,57%;FALSK;FALSK;Lars Barfoed;
Enhedslisten;EL;39;#e6801a;15-09-2011;236.860;6,68%;12;6,86%;FALSK;FALSK;Kollektiv ledelse;
