Parti;Forkortelse;ID;Farve;Valg;Stemmetal;Pct. af stemmer;Mandater;Mandatprocent;Regeringsparti;Statsministerparti;Partileder;Note
Det Radikale Venstre;RV;4;#7d329b;21-09-1920;147.120;12,14%;18;12,16%;FALSK;FALSK;Carl Theodor Zahle;
Venstre;V;2;#115eb0;21-09-1920;411.661;33,97%;51;34,46%;SAND;SAND;J.C. Christensen;
Det Konservative Folkeparti;K;3;#4c962f;21-09-1920;216.733;17,89%;27;18,24%;FALSK;FALSK;Emil Piper;
Erhvervspartiet;EP;9;#7896d2;21-09-1920;27.403;2,26%;3;2,03%;FALSK;FALSK;Peter Elfelt;
Danmarks Venstresocialistiske Parti;DVP;13;#e6801a;21-09-1920;5.160;0,43%;0;0,00%;FALSK;FALSK;Ernst Christiansen;
Det Frie Socialdemokrati;FS;14;#970647;21-09-1920;6.460;0,53%;0;0,00%;FALSK;FALSK;Emil Marott;
Slesvigske Parti;SP;15;#e7bf23;21-09-1920;7.505;0,62%;1;0,68%;FALSK;FALSK;Johannes Schmidt-Vodder;
Socialdemokratiet;S;1;#cf1b42;11-04-1924;469.949;36,63%;55;37,16%;SAND;SAND;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;11-04-1924;166.476;12,98%;20;13,51%;FALSK;FALSK;Carl Theodor Zahle;
Venstre;V;2;#115eb0;11-04-1924;362.682;28,27%;44;29,73%;FALSK;FALSK;Niels Neergaard;
Det Konservative Folkeparti;K;3;#4c962f;11-04-1924;242.955;18,94%;28;18,92%;FALSK;FALSK;Emil Piper;
Erhverspartiet;EP;9;#7896d2;11-04-1924;2.102;0,16%;0;0,00%;FALSK;FALSK;Peter Elfelt;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;11-04-1924;6.219;0,48%;0;0,00%;FALSK;FALSK;Ernst Christiansen;
Slesvigske Parti;SP;15;#e7bf23;11-04-1924;7.715;0,60%;1;0,68%;FALSK;FALSK;Johannes Schmidt-Vodder;
Retsforbundet;RF;17;#b48cd2;11-04-1924;12.643;0,99%;0;0,00%;FALSK;FALSK;Axel Dam;
Landmandspartiet;LMP;16;#1f4e79;11-04-1924;12.196;0,95%;0;0,00%;FALSK;FALSK;P.C. Poulsen;
Socialdemokratiet;S;1;#cf1b42;02-12-1926;497.106;37,16%;53;35,81%;FALSK;FALSK;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;02-12-1926;150.931;11,28%;16;10,81%;FALSK;FALSK;Carl Theodor Zahle;
Venstre;V;2;#115eb0;02-12-1926;378.137;28,27%;46;31,08%;SAND;SAND;Niels Neergaard;
Det Konservative Folkeparti;K;3;#4c962f;02-12-1926;275.793;20,62%;30;20,27%;FALSK;FALSK;Emil Piper;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;02-12-1926;5.678;0,42%;0;0,00%;FALSK;FALSK;Ernst Christiansen;
Slesvigske Parti;SP;15;#e7bf23;02-12-1926;10.422;0,78%;1;0,68%;FALSK;FALSK;Johannes Schmidt-Vodder;
Retsforbundet;RF;17;#b48cd2;02-12-1926;17.463;1,31%;2;1,35%;FALSK;FALSK;Axel Dam;
Selvstyrepartiet;SEP;18;#b9703c;02-12-1926;2.117;0,16%;0;0,00%;FALSK;FALSK;Cornelius Petersen;
Socialdemokratiet;S;1;#cf1b42;04-04-1929;593.191;41,77%;61;41,22%;SAND;SAND;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;04-04-1929;151.746;10,68%;16;10,81%;SAND;FALSK;Peter Munch;
Venstre;V;2;#115eb0;04-04-1929;402.121;28,31%;43;29,05%;FALSK;FALSK;Thomas Madsen-Mygdal;
Det Konservative Folkeparti;K;3;#4c962f;04-04-1929;233.935;16,47%;24;16,22%;FALSK;FALSK;Charles Tvede;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;04-04-1929;3.656;0,26%;0;0,00%;FALSK;FALSK;Thøger Thøgersen;
Slesvigske Parti;SP;15;#e7bf23;04-04-1929;9.787;0,69%;1;0,68%;FALSK;FALSK;Johannes Schmidt-Vodder;
Retsforbundet;RF;17;#b48cd2;04-04-1929;25.810;1,82%;3;2,03%;FALSK;FALSK;Axel Dam;
Socialdemokratiet;S;1;#cf1b42;16-11-1932;660.839;42,72%;62;41,89%;SAND;SAND;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;16-11-1932;145.221;9,39%;14;9,46%;SAND;FALSK;Peter Munch;
Venstre;V;2;#115eb0;16-11-1932;381.862;24,68%;38;25,68%;FALSK;FALSK;Thomas Madsen-Mygdal;
Det Konservative Folkeparti;K;3;#4c962f;16-11-1932;289.531;18,71%;27;18,24%;FALSK;FALSK;John Christmas Møller;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;16-11-1932;17.179;1,11%;2;1,35%;FALSK;FALSK;Aksel Larsen;
Slesvigske Parti;SP;15;#e7bf23;16-11-1932;9.868;0,64%;1;0,68%;FALSK;FALSK;Johannes Schmidt-Vodder;
Retsforbundet;RF;17;#b48cd2;16-11-1932;41.238;2,67%;4;2,70%;FALSK;FALSK;Axel Dam;
Danmarks Nationalsocialistiske Arbejderparti;DNSAP;19;#7d360c;16-11-1932;1.028;0,07%;0;0,00%;FALSK;FALSK;Cay Lembcke;
Uden for partierne;Uden;99;#a5a5a5;16-11-1932;316;0,02%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;22-10-1935;759.102;46,11%;68;45,95%;SAND;SAND;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;22-10-1935;151.507;9,20%;14;9,46%;SAND;FALSK;Peter Munch;
Venstre;V;2;#115eb0;22-10-1935;292.247;17,75%;28;18,92%;FALSK;FALSK;Thomas Madsen-Mygdal;
Det Konservative Folkeparti;K;3;#4c962f;22-10-1935;293.393;17,82%;26;17,57%;FALSK;FALSK;John Christmas Møller;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;22-10-1935;27.135;1,65%;2;1,35%;FALSK;FALSK;Aksel Larsen;
Slesvigske Parti;SP;15;#e7bf23;22-10-1935;12.617;0,77%;1;0,68%;FALSK;FALSK;Johannes Schmidt-Vodder;
Retsforbundet;RF;17;#b48cd2;22-10-1935;41.199;2,50%;4;2,70%;FALSK;FALSK;Axel Dam;
Danmarks Nationalsocialistiske Arbejderparti;DNSAP;19;#7d360c;22-10-1935;16.257;0,99%;0;0,00%;FALSK;FALSK;Frits Clausen;
Det Frie Folkeparti;FF;21;#517263;22-10-1935;52.793;3,21%;5;3,38%;FALSK;FALSK;Valdemar Thomsen;
Samfundspartiet;SAM;20;#cd8f65;22-10-1935;188;0,01%;0;0,00%;FALSK;FALSK;M.P. Jensen;
Socialdemokratiet;S;1;#cf1b42;03-04-1939;729.619;42,92%;64;43,24%;SAND;SAND;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;03-04-1939;161.834;9,52%;14;9,46%;SAND;FALSK;Peter Munch;
Venstre;V;2;#115eb0;03-04-1939;309.355;18,20%;30;20,27%;FALSK;FALSK;Thomas Madsen-Mygdal;
Det Konservative Folkeparti;K;3;#4c962f;03-04-1939;301.625;17,74%;26;17,57%;FALSK;FALSK;John Christmas Møller;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;03-04-1939;40.893;2,41%;3;2,03%;FALSK;FALSK;Aksel Larsen;
Slesvigske Parti;SP;15;#e7bf23;03-04-1939;15.016;0,88%;1;0,68%;FALSK;FALSK;Jens Møller;
Retsforbundet;RF;17;#b48cd2;03-04-1939;33.783;1,99%;3;2,03%;FALSK;FALSK;Viggo Starcke;
Danmarks Nationalsocialistiske Arbejderparti;DNSAP;19;#7d360c;03-04-1939;31.032;1,83%;3;2,03%;FALSK;FALSK;Frits Clausen;
Bondepartiet;BP;21;#517263;03-04-1939;50.829;2,99%;4;2,70%;FALSK;FALSK;Valdemar Thomsen;
Nationalt Samvirke;NS;22;#000000;03-04-1939;17.350;1,02%;0;0,00%;FALSK;FALSK;Victor Pürschel;
Dansk Samling;DS;23;#3fb2be;03-04-1939;8.553;0,50%;0;0,00%;FALSK;FALSK;Arne Sørensen;
Socialdemokratiet;S;1;#cf1b42;23-03-1943;894.632;44,49%;66;44,59%;SAND;FALSK;Alsing Andersen;
Det Radikale Venstre;RV;4;#7d329b;23-03-1943;175.179;8,71%;13;8,78%;SAND;FALSK;Jørgen Jørgensen;
Venstre;V;2;#115eb0;23-03-1943;376.850;18,74%;28;18,92%;SAND;FALSK;Knud Kristensen;
Det Konservative Folkeparti;K;3;#4c962f;23-03-1943;421.523;20,96%;31;20,95%;SAND;FALSK;Ole Bjørn Kraft;
Retsforbundet;RF;17;#b48cd2;23-03-1943;31.323;1,56%;2;1,35%;FALSK;FALSK;Oluf Pedersen;
Danmarks Nationalsocialistiske Arbejderparti;DNSAP;19;#7d360c;23-03-1943;43.309;2,15%;3;2,03%;FALSK;FALSK;Frits Clausen;
Bondepartiet;BP;21;#517263;23-03-1943;24.572;1,22%;2;1,35%;FALSK;FALSK;Valdemar Thomsen;
Dansk Samling;DS;23;#3fb2be;23-03-1943;43.367;2,16%;3;2,03%;FALSK;FALSK;Arne Sørensen;
Uden for partierne;Uden;99;#a5a5a5;23-03-1943;28;0,00%;0;0,00%;SAND;SAND;;
Socialdemokratiet;S;1;#cf1b42;30-10-1945;671.755;32,78%;48;32,43%;FALSK;FALSK;Hans Hedtoft;
Det Radikale Venstre;RV;4;#7d329b;30-10-1945;167.073;8,15%;11;7,43%;FALSK;FALSK;Jørgen Jørgensen;
Venstre;V;2;#115eb0;30-10-1945;479.158;23,38%;38;25,68%;SAND;SAND;Knud Kristensen;
Det Konservative Folkeparti;K;3;#4c962f;30-10-1945;373.688;18,24%;26;17,57%;FALSK;FALSK;John Christmas Møller;
Retsforbundet;RF;17;#b48cd2;30-10-1945;38.459;1,88%;3;2,03%;FALSK;FALSK;Oluf Pedersen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;30-10-1945;255.236;12,46%;18;12,16%;FALSK;FALSK;Aksel Larsen;
Dansk Samling;DS;23;#3fb2be;30-10-1945;63.760;3,11%;4;2,70%;FALSK;FALSK;Arne Sørensen;
Uden for partierne;Uden;99;#a5a5a5;30-10-1945;55;0,00%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;28-10-1947;834.089;40,02%;57;38,51%;SAND;SAND;Hans Hedtoft;
Det Radikale Venstre;RV;4;#7d329b;28-10-1947;144.206;6,92%;10;6,76%;FALSK;FALSK;Jørgen Jørgensen;
Venstre;V;2;#115eb0;28-10-1947;574.895;27,58%;49;33,11%;FALSK;FALSK;Knud Kristensen;
Det Konservative Folkeparti;K;3;#4c962f;28-10-1947;259.324;12,44%;17;11,49%;FALSK;FALSK;Ole Bjørn Kraft;
Retsforbundet;RF;17;#b48cd2;28-10-1947;94.570;4,54%;6;4,05%;FALSK;FALSK;Oluf Pedersen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;28-10-1947;141.094;6,77%;9;6,08%;FALSK;FALSK;Aksel Larsen;
Dansk Samling;DS;23;#3fb2be;28-10-1947;24.724;1,19%;0;0,00%;FALSK;FALSK;Kristen Juul Christensen;
Uden for partierne;Uden;99;#a5a5a5;28-10-1947;11.239;0,54%;0;0,00%;FALSK;FALSK;;Opstillede kandidater inkluderede John Christmas Møller og W. Reunter
Socialdemokratiet;S;1;#cf1b42;05-09-1950;813.224;39,59%;59;39,60%;SAND;SAND;Hans Hedtoft;Socialdemokratiet måtte allerde 40 dage efter valget afgive magten til fordel for en VK-regering.
Det Radikale Venstre;RV;4;#7d329b;05-09-1950;167.969;8,18%;12;8,05%;FALSK;FALSK;Jørgen Jørgensen;
Venstre;V;2;#115eb0;05-09-1950;438.188;21,33%;32;21,48%;FALSK;FALSK;Erik Eriksen;
Det Konservative Folkeparti;K;3;#4c962f;05-09-1950;365.236;17,78%;27;18,12%;FALSK;FALSK;Ole Bjørn Kraft;
Retsforbundet;RF;17;#b48cd2;05-09-1950;168.784;8,22%;12;8,05%;FALSK;FALSK;Oluf Pedersen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;05-09-1950;94.523;4,60%;7;4,70%;FALSK;FALSK;Aksel Larsen;
Uden for partierne;Uden;99;#a5a5a5;05-09-1950;6.406;0,31%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;21-04-1953;836.507;40,39%;61;40,94%;FALSK;FALSK;Hans Hedtoft;
Det Radikale Venstre;RV;4;#7d329b;21-04-1953;178.942;8,64%;13;8,72%;FALSK;FALSK;Jørgen Jørgensen;
Venstre;V;2;#115eb0;21-04-1953;456.896;22,06%;33;22,15%;SAND;SAND;Erik Eriksen;
Det Konservative Folkeparti;K;3;#4c962f;21-04-1953;358.509;17,31%;26;17,45%;SAND;FALSK;Ole Bjørn Kraft;
Retsforbundet;RF;17;#b48cd2;21-04-1953;116.288;5,62%;9;6,04%;FALSK;FALSK;Oluf Pedersen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;21-04-1953;98.940;4,78%;7;4,70%;FALSK;FALSK;Aksel Larsen;
Dansk Samling;DS;23;#3fb2be;21-04-1953;16.383;0,79%;0;0,00%;FALSK;FALSK;Carl Haugsted;
Tysk mindretal;Tysk;15;#e7bf23;21-04-1953;8.438;0,41%;0;0,00%;FALSK;FALSK;Hans Schmidt;
Socialdemokratiet;S;1;#cf1b42;22-09-1953;894.913;41,31%;74;42,29%;SAND;SAND;Hans Hedtoft;
Det Radikale Venstre;RV;4;#7d329b;22-09-1953;169.295;7,81%;14;8,00%;FALSK;FALSK;Jørgen Jørgensen;
Venstre;V;2;#115eb0;22-09-1953;499.656;23,06%;42;24,00%;FALSK;FALSK;Erik Eriksen;
Det Konservative Folkeparti;K;3;#4c962f;22-09-1953;364.960;16,85%;30;17,14%;FALSK;FALSK;Aksel Møller;
Retsforbundet;RF;17;#b48cd2;22-09-1953;75.449;3,48%;6;3,43%;FALSK;FALSK;Viggo Starcke;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;22-09-1953;93.824;4,33%;8;4,57%;FALSK;FALSK;Aksel Larsen;
De Uafhængige;U;24;#127b7f;22-09-1953;58.573;2,70%;0;0,00%;FALSK;FALSK;Knud Kristensen;
Tysk mindretal;Tysk;15;#e7bf23;22-09-1953;9.721;0,45%;1;0,57%;FALSK;FALSK;Hans Schmidt;
Socialdemokratiet;S;1;#cf1b42;14-05-1957;910.170;39,40%;70;40,00%;SAND;SAND;H.C. Hansen;
Det Radikale Venstre;RV;4;#7d329b;14-05-1957;179.822;7,78%;14;8,00%;SAND;FALSK;Jørgen Jørgensen;
Venstre;V;2;#115eb0;14-05-1957;578.932;25,06%;45;25,71%;FALSK;FALSK;Erik Eriksen;
Det Konservative Folkeparti;K;3;#4c962f;14-05-1957;383.843;16,62%;30;17,14%;FALSK;FALSK;Aksel Møller;
Retsforbundet;RF;17;#b48cd2;14-05-1957;122.759;5,31%;9;5,14%;SAND;FALSK;Helge Madsen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;14-05-1957;72.315;3,13%;6;3,43%;FALSK;FALSK;Aksel Larsen;
De Uafhængige;U;24;#127b7f;14-05-1957;53.061;2,30%;0;0,00%;FALSK;FALSK;Iver Poulsen;
Slesvigske Parti;SP;15;#e7bf23;14-05-1957;9.202;0,40%;1;0,57%;FALSK;FALSK;;
Uden for partierne;Uden;99;#a5a5a5;14-05-1957;71;0,00%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;15-11-1960;1.023.794;42,10%;76;43,43%;SAND;SAND;Viggo Kampman;
Det Radikale Venstre;RV;4;#7d329b;15-11-1960;140.979;5,80%;11;6,29%;SAND;FALSK;Jørgen Jørgensen;
Venstre;V;2;#115eb0;15-11-1960;512.041;21,05%;38;21,71%;FALSK;FALSK;Erik Eriksen;
Det Konservative Folkeparti;K;3;#4c962f;15-11-1960;435.764;17,92%;32;18,29%;FALSK;FALSK;Poul Sørensen;
Retsforbundet;RF;17;#b48cd2;15-11-1960;52.330;2,15%;0;0,00%;FALSK;FALSK;J. M. Petersen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;15-11-1960;27.298;1,12%;0;0,00%;FALSK;FALSK;Knud Hespersen;
De Uafhængige;U;24;#127b7f;15-11-1960;81.134;3,34%;6;3,43%;FALSK;FALSK;Iver Poulsen;
Slesvigske Parti;SP;15;#e7bf23;15-11-1960;9.058;0,37%;1;0,57%;FALSK;FALSK;;
Socialistisk Folkeparti;SF;25;#e07ea8;15-11-1960;149.440;6,14%;11;6,29%;FALSK;FALSK;Aksel Larsen;
Uden for partierne;Uden;99;#a5a5a5;15-11-1960;109;0,00%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;22-09-1964;1.103.667;41,94%;76;43,43%;SAND;SAND;Jens Otto Krag;
Det Radikale Venstre;RV;4;#7d329b;22-09-1964;139.702;5,31%;10;5,71%;FALSK;FALSK;Hilmar Baunsgaard;
Venstre;V;2;#115eb0;22-09-1964;547.770;20,82%;38;21,71%;FALSK;FALSK;Erik Eriksen;
Det Konservative Folkeparti;K;3;#4c962f;22-09-1964;527.798;20,06%;36;20,57%;FALSK;FALSK;Poul Sørensen;
Retsforbundet;RF;17;#b48cd2;22-09-1964;34.258;1,30%;0;0,00%;FALSK;FALSK;;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;22-09-1964;32.390;1,23%;0;0,00%;FALSK;FALSK;Knud Jespersen;
De Uafhængige;U;24;#127b7f;22-09-1964;65.756;2,50%;5;2,86%;FALSK;FALSK;Iver Poulsen;
Slesvigske Parti;SP;15;#e7bf23;22-09-1964;9.274;0,35%;0;0,00%;FALSK;FALSK;;
Socialistisk Folkeparti;SF;25;#e07ea8;22-09-1964;151.697;5,76%;10;5,71%;FALSK;FALSK;Aksel Larsen;
Dansk Samling;DS;23;#3fb2be;22-09-1964;9.747;0,37%;0;0,00%;FALSK;FALSK;;
Fredspolitisk Folkeparti;FFP;26;#f9fcf2;22-09-1964;9.070;0,34%;0;0,00%;FALSK;FALSK;Aage Bertelsen;
Uden for partierne;Uden;99;#a5a5a5;22-09-1964;255;0,01%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;22-11-1966;1.068.911;38,26%;69;39,43%;SAND;SAND;Jens Otto Krag;
Det Radikale Venstre;RV;4;#7d329b;22-11-1966;203.858;7,30%;13;7,43%;FALSK;FALSK;Hilmar Baunsgaard;
Venstre;V;2;#115eb0;22-11-1966;539.027;19,29%;35;20,00%;FALSK;FALSK;Poul Hartling;
Det Konservative Folkeparti;K;3;#4c962f;22-11-1966;522.028;18,68%;34;19,43%;FALSK;FALSK;Poul Sørensen;
Retsforbundet;RF;17;#b48cd2;22-11-1966;19.905;0,71%;0;0,00%;FALSK;FALSK;J. M. Petersen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;22-11-1966;21.553;0,77%;0;0,00%;FALSK;FALSK;Knud Jespersen;
De Uafhængige;U;24;#127b7f;22-11-1966;44.994;1,61%;0;0,00%;FALSK;FALSK;Iver Poulsen;
Socialistisk Folkeparti;SF;25;#e07ea8;22-11-1966;304.437;10,90%;20;11,43%;FALSK;FALSK;Aksel Larsen;
Liberalt Centrum;LC;27;#3fb2be;22-11-1966;69.180;2,48%;4;2,29%;FALSK;FALSK;Bent Novak;
Uden for partierne;Uden;99;#a5a5a5;22-11-1966;114;0,00%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;23-01-1968;974.833;34,15%;62;35,43%;FALSK;FALSK;Jens Otto Krag;
Det Radikale Venstre;RV;4;#7d329b;23-01-1968;427.304;14,97%;27;15,43%;SAND;SAND;Hilmar Baunsgaard;
Venstre;V;2;#115eb0;23-01-1968;530.167;18,57%;34;19,43%;SAND;FALSK;Poul Hartling;
Det Konservative Folkeparti;K;3;#4c962f;23-01-1968;581.051;20,35%;37;21,14%;SAND;FALSK;Poul Sørensen;
Retsforbundet;RF;17;#b48cd2;23-01-1968;21.124;0,74%;0;0,00%;FALSK;FALSK;Ib Christensen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;23-01-1968;29.706;1,04%;0;0,00%;FALSK;FALSK;Knud Jespersen;
De Uafhængige;U;24;#127b7f;23-01-1968;14.360;0,50%;0;0,00%;FALSK;FALSK;Iver Poulsen;
Socialistisk Folkeparti;SF;25;#e07ea8;23-01-1968;174.553;6,11%;11;6,29%;FALSK;FALSK;Aksel Larsen;
Liberalt Centrum;LC;27;#3fb2be;23-01-1968;37.407;1,31%;0;0,00%;FALSK;FALSK;Bent Novak;
Slesvigske Parti;SP;15;#e7bf23;23-01-1968;6.831;0,24%;0;0,00%;FALSK;FALSK;;
Venstresocialisterne;VS;28;#ed5741;23-01-1968;57.184;2,00%;4;2,29%;FALSK;FALSK;Kollektiv ledelse;
Uden for partierne;Uden;99;#a5a5a5;23-01-1968;127;0,00%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;21-09-1971;1.074.777;37,27%;70;40,00%;SAND;SAND;Jens Otto Krag;
Det Radikale Venstre;RV;4;#7d329b;21-09-1971;413.620;14,34%;27;15,43%;FALSK;FALSK;Hilmar Baunsgaard;
Venstre;V;2;#115eb0;21-09-1971;450.904;15,64%;30;17,14%;FALSK;FALSK;Poul Hartling;
Det Konservative Folkeparti;K;3;#4c962f;21-09-1971;481.335;16,69%;31;17,71%;FALSK;FALSK;Poul Møller;
Retsforbundet;RF;17;#b48cd2;21-09-1971;50.231;1,74%;0;0,00%;FALSK;FALSK;Ib Christensen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;21-09-1971;39.564;1,37%;0;0,00%;FALSK;FALSK;Knud Jespersen;
Socialistisk Folkeparti;SF;25;#e07ea8;21-09-1971;262.756;9,11%;17;9,71%;FALSK;FALSK;Sigurd Ømann;
Slesvigske Parti;SP;15;#e7bf23;21-09-1971;6.743;0,23%;0;0,00%;FALSK;FALSK;;
Venstresocialisterne;VS;28;#ed5741;21-09-1971;45.979;1,59%;0;0,00%;FALSK;FALSK;Kollektiv ledelse;
Kristeligt Folkeparti;KF;29;#254264;21-09-1971;57.072;1,98%;0;0,00%;FALSK;FALSK;Jacob Christensen;
Uden for partierne;Uden;99;#a5a5a5;21-09-1971;919;0,03%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;04-12-1973;783.145;25,65%;46;26,29%;FALSK;FALSK;Anker Jørgensen;
Det Radikale Venstre;RV;4;#7d329b;04-12-1973;343.117;11,24%;20;11,43%;FALSK;FALSK;Hilmar Baunsgaard;
Venstre;V;2;#115eb0;04-12-1973;374.283;12,26%;22;12,57%;SAND;SAND;Poul Hartling;
Det Konservative Folkeparti;K;3;#4c962f;04-12-1973;279.391;9,15%;16;9,14%;FALSK;FALSK;Erik Ninn-Hansen;
Retsforbundet;RF;17;#b48cd2;04-12-1973;87.904;2,88%;5;2,86%;FALSK;FALSK;Ib Christensen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;04-12-1973;110.715;3,63%;6;3,43%;FALSK;FALSK;Knud Jespersen;
Socialistisk Folkeparti;SF;25;#e07ea8;04-12-1973;183.522;6,01%;11;6,29%;FALSK;FALSK;Sigurd Ømann;
Venstresocialisterne;VS;28;#ed5741;04-12-1973;44.843;1,47%;0;0,00%;FALSK;FALSK;Kollektiv ledelse;
Kristeligt Folkeparti;KF;29;#254264;04-12-1973;123.573;4,05%;7;4,00%;FALSK;FALSK;Jacob Christensen;
Fremskridtspartiet;FP;31;#ebca47;04-12-1973;485.289;15,89%;28;16,00%;FALSK;FALSK;Mogens Glistrup;
Centrum-Demokraterne;CD;30;#970647;04-12-1973;236.784;7,76%;14;8,00%;FALSK;FALSK;Erhard Jakobsen;
Uden for partierne;Uden;99;#a5a5a5;04-12-1973;637;0,02%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;09-01-1975;913.155;29,94%;53;30,29%;FALSK;FALSK;Anker Jørgensen;
Det Radikale Venstre;RV;4;#7d329b;09-01-1975;216.553;7,10%;13;7,43%;FALSK;FALSK;Svend Haugaard;
Venstre;V;2;#115eb0;09-01-1975;711.298;23,33%;42;24,00%;SAND;SAND;Poul Hartling;Allerede måneden efter valget, måtte regeringen gå af til fordel for en socialdemokratisk regering
Det Konservative Folkeparti;K;3;#4c962f;09-01-1975;168.164;5,51%;10;5,71%;FALSK;FALSK;Poul Schlüter;
Retsforbundet;RF;17;#b48cd2;09-01-1975;54.095;1,77%;0;0,00%;FALSK;FALSK;Ib Christensen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;09-01-1975;127.837;4,19%;7;4,00%;FALSK;FALSK;Knud Jespersen;
Socialistisk Folkeparti;SF;25;#e07ea8;09-01-1975;150.963;4,95%;9;5,14%;FALSK;FALSK;Gert Petersen;
Venstresocialisterne;VS;28;#ed5741;09-01-1975;66.316;2,17%;4;2,29%;FALSK;FALSK;Kollektiv ledelse;
Kristeligt Folkeparti;KF;29;#254264;09-01-1975;162.734;5,34%;9;5,14%;FALSK;FALSK;Jens Møller;
Fremskridtspartiet;FP;31;#ebca47;09-01-1975;414.219;13,58%;24;13,71%;FALSK;FALSK;Mogens Glistrup;
Centrum-Demokraterne;CD;30;#970647;09-01-1975;63.579;2,08%;4;2,29%;FALSK;FALSK;Erhard Jakobsen;
Uden for partierne;Uden;99;#a5a5a5;09-01-1975;539;0,02%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;15-02-1977;1.150.355;37,03%;65;37,14%;SAND;SAND;Anker Jørgensen;Valgte året efter folketingsvalget at lave en ny mindretalsregering over midten med Venstre
Det Radikale Venstre;RV;4;#7d329b;15-02-1977;113.330;3,65%;6;3,43%;FALSK;FALSK;Svend Haugaard;
Venstre;V;2;#115eb0;15-02-1977;371.728;11,97%;21;12,00%;FALSK;FALSK;Poul Hartling;
Det Konservative Folkeparti;K;3;#4c962f;15-02-1977;263.262;8,48%;15;8,57%;FALSK;FALSK;Poul Schlüter;
Retsforbundet;RF;17;#b48cd2;15-02-1977;102.149;3,29%;6;3,43%;FALSK;FALSK;Ib Christensen;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;15-02-1977;114.022;3,67%;7;4,00%;FALSK;FALSK;Knud Jespersen;
Socialistisk Folkeparti;SF;25;#e07ea8;15-02-1977;120.357;3,87%;7;4,00%;FALSK;FALSK;Gert Petersen;
Venstresocialisterne;VS;28;#ed5741;15-02-1977;83.667;2,69%;5;2,86%;FALSK;FALSK;Kollektiv ledelse;
Kristeligt Folkeparti;KF;29;#254264;15-02-1977;106.082;3,42%;6;3,43%;FALSK;FALSK;Jens Møller;
Fremskridtspartiet;FP;31;#ebca47;15-02-1977;453.792;14,61%;26;14,86%;FALSK;FALSK;Mogens Glistrup;
Centrum-Demokraterne;CD;30;#970647;15-02-1977;200.347;6,45%;11;6,29%;FALSK;FALSK;Erhard Jakobsen;
Pensionist Partiet;PP;32;#eeeeee;15-02-1977;26.889;0,87%;0;0,00%;FALSK;FALSK;Hans Hansen;
Uden for partierne;Uden;99;#a5a5a5;15-02-1977;317;0,01%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;23-10-1979;1.213.456;38,27%;68;38,86%;SAND;SAND;Anker Jørgensen;
Det Radikale Venstre;RV;4;#7d329b;23-10-1979;172.365;5,44%;10;5,71%;FALSK;FALSK;Niels Helvig Petersen;
Venstre;V;2;#115eb0;23-10-1979;396.484;12,50%;22;12,57%;FALSK;FALSK;Henning Christophersen;
Det Konservative Folkeparti;K;3;#4c962f;23-10-1979;395.653;12,48%;22;12,57%;FALSK;FALSK;Poul Schlüter;
